latitude,longitude,censo_2022_estabelecimento_outras_finalidades_poi_counts,censo_2022_domicilio_particular_poi_counts,censo_2022_estabelecimento_construcao_poi_counts,censo_2022_estabelecimento_religioso_poi_counts,censo_2022_estabelecimento_ensino_poi_counts,censo_2022_estabelecimento_saude_poi_counts,censo_2022_domicilio_coletivo_poi_counts,censo_2022_estabelecimento_agro_poi_counts
-20.273134,-50.468796,0,6,0,0,0,0,0,2
-20.264603,-50.590775,0,9,1,0,0,0,0,7
-20.282162,-50.537617,23,503,27,3,0,0,0,0
-20.278893,-50.559162,6,232,16,0,1,0,0,1
-20.274105,-50.564186,38,874,26,1,3,0,0,4
-20.254063,-50.5072,1,6,0,0,0,0,0,5
-20.26416,-50.53195,163,470,24,1,0,1,0,0
-20.377436,-50.576332,0,2,0,0,0,0,0,0
-20.265127,-50.570847,3,4,0,0,0,0,0,2
-20.265976,-50.541996,334,851,23,3,5,7,0,0
-20.268318,-50.54565,1000,1070,38,2,4,38,10,0
-20.291294,-50.493782,0,6,0,0,0,0,0,6
-20.27801,-50.5455,233,1512,19,8,3,7,2,0
-20.287859,-50.49138,0,5,0,0,0,0,0,3
-20.278774,-50.536057,59,994,31,4,2,0,0,0
-20.329092,-50.584953,0,6,0,0,0,0,0,3
-20.347376,-50.509106,0,4,0,0,0,0,0,3
-20.269861,-50.50942,76,38,5,0,0,0,0,9
-20.37611,-50.512177,0,0,0,0,0,0,0,0
-20.264086,-50.539154,153,386,21,0,4,4,1,0
-20.264416,-50.55093,263,1020,19,4,4,17,2,0
-20.26832,-50.46592,0,2,0,0,0,0,0,1
-20.29537,-50.53496,7,46,1,0,0,0,0,4
-20.265987,-50.476086,0,3,0,0,0,0,0,3
-20.227577,-50.548904,0,2,0,0,0,0,0,3
-20.38554,-50.518017,0,0,0,0,0,0,0,0
-20.225348,-50.533764,1,10,1,0,0,0,0,9
-20.33297,-50.490547,0,1,0,0,0,0,0,1
-20.190336,-50.56272,0,4,0,0,0,0,0,2
-20.27694,-50.504387,0,12,0,0,0,0,0,9
-20.249763,-50.46518,0,2,0,0,0,0,0,1
-20.272173,-50.492386,2,22,0,0,0,0,0,6
-20.29016,-50.48981,0,4,0,0,0,0,0,4
-20.291475,-50.54883,25,620,32,1,0,0,0,3
-20.28453,-50.553745,61,1071,34,0,2,1,1,2
-20.274385,-50.527412,48,1596,26,3,1,1,0,0
-20.252323,-50.543667,5,527,69,0,0,0,0,0
-20.33666,-50.62222,0,5,0,0,0,0,0,2
-20.273445,-50.525738,40,1364,22,3,1,1,0,0
-20.337215,-50.523907,0,11,1,0,0,0,0,5
-20.216238,-50.549744,0,1,0,0,0,0,0,1
-20.273056,-50.542408,396,1558,31,4,7,22,5,0
-20.29239,-50.50072,2,7,0,0,0,0,0,5
-20.253511,-50.54759,47,1089,88,1,4,1,0,0
-20.265877,-50.50779,8,31,2,0,0,0,0,11
-20.340466,-50.4776,0,5,0,0,0,0,0,1
-20.257668,-50.55936,16,22,2,0,1,2,0,2
-20.26475,-50.56499,5,78,2,0,0,0,0,0
-20.240784,-50.55956,22,608,56,0,1,1,0,2
-20.30623,-50.532913,0,17,0,0,0,0,0,9
-20.252333,-50.551563,86,1014,37,3,3,1,0,1
-20.3456,-50.595837,0,5,0,0,0,0,0,2
-20.273062,-50.476536,0,5,0,0,0,0,0,4
-20.271786,-50.544933,879,1316,37,1,7,32,11,0
-20.246859,-50.522053,2,7,0,0,0,0,0,5
-20.23981,-50.502262,0,3,0,0,0,0,0,2
-20.260902,-50.532257,133,130,31,1,0,0,0,0
-20.251698,-50.559013,7,171,0,0,1,1,0,16
-20.275352,-50.55326,279,1375,33,7,6,37,1,0
-20.268295,-50.513084,44,24,4,0,0,0,1,10
-20.301727,-50.48375,0,0,0,0,0,0,0,0
-20.263515,-50.544086,308,753,27,3,3,7,1,0
-20.29999,-50.53336,2,30,1,0,0,0,0,6
-20.264091,-50.532944,172,461,25,1,1,1,1,0
-20.290155,-50.499718,0,6,0,0,0,0,0,4
-20.321524,-50.470688,0,4,0,0,0,0,0,2
-20.301243,-50.54366,22,38,6,0,0,0,0,1
-20.281914,-50.467285,0,0,0,0,0,0,0,0
-20.321583,-50.50033,0,5,0,0,0,0,0,3
-20.270731,-50.544617,876,1282,30,2,7,31,11,0
-20.366285,-50.57289,0,3,0,0,0,0,0,2
-20.37245,-50.61499,0,0,0,0,0,0,0,0
-20.269564,-50.58169,0,8,0,0,0,0,0,5
-20.270891,-50.50373,9,20,2,0,0,0,0,4
-20.16225,-50.58957,0,1,0,0,0,0,0,1
-20.271389,-50.551094,877,1238,47,5,2,83,6,0
-20.256758,-50.532787,21,182,31,0,0,0,0,0
-20.165104,-50.590973,0,0,0,0,0,0,0,0
-20.258211,-50.51991,0,0,0,0,0,0,0,0
-20.191738,-50.555267,0,3,0,0,0,0,0,0
-20.267649,-50.549416,895,1012,45,2,6,59,8,0
-20.347664,-50.53221,0,0,0,0,0,0,0,0
-20.324858,-50.47168,0,2,0,0,0,0,0,1
-20.285454,-50.543648,112,649,16,5,3,1,0,0
-20.293629,-50.557655,5,106,1,0,0,0,0,2
